policy,path_id,implementation_shortfall_bps,completion_error,max_constraint_violation
twap,92,15.710030433907358,0.0,0.0
twap,93,-12.3193193824301,0.0,0.0
twap,94,-23.125432965530507,0.0,0.0
twap,95,-8.827394968852527,0.0,0.0
twap,96,-1.372574970015196,0.0,0.0
twap,97,-8.008936412964536,0.0,0.0
twap,98,6.96203586074589,0.0,0.0
twap,99,1.2939124526234818,0.0,0.0
twap,100,-4.2165405840521,0.0,0.0
twap,101,8.296167176340175,0.0,0.0
twap,102,-5.177788625059166,0.0,0.0
twap,103,7.113860976429714,0.0,0.0
twap,104,-12.603119408879682,0.0,0.0
twap,105,5.727280506317652,0.0,0.0
twap,106,17.64165092300141,0.0,0.0
twap,107,-13.772178156968138,0.0,0.0
twap,108,13.950204088361868,0.0,0.0
twap,109,27.121924446526577,0.0,0.0
twap,110,8.111666951109036,0.0,0.0
twap,111,18.247674029633636,0.0,0.0
twap,112,10.093991335663592,0.0,0.0
twap,113,19.71008298800973,0.0,0.0
twap,114,5.133718697296058,0.0,0.0
twap,115,-17.655716618488693,0.0,0.0
twap,116,-10.127867360428423,0.0,0.0
twap,117,-9.620834785300037,0.0,0.0
twap,118,16.530345572596644,0.0,0.0
twap,119,7.801243089840749,0.0,0.0
twap,120,-1.4308392689710763,0.0,0.0
twap,121,-11.17692134896714,0.0,0.0
twap,122,-4.645751488425792,0.0,0.0
twap,123,-3.129535628590882,0.0,0.0
twap,124,-9.55994438338415,0.0,0.0
twap,125,4.444781538839808,0.0,0.0
twap,126,2.6982383311845255,0.0,0.0
twap,127,4.807119154092087,0.0,0.0
twap,128,2.754789064448021,0.0,0.0
twap,129,2.2642772097580646,0.0,0.0
twap,130,-28.44566722821685,0.0,0.0
twap,131,14.914087288242035,0.0,0.0
twap,132,18.874929012223646,0.0,0.0
twap,133,-1.240265397045292,0.0,0.0
twap,134,-4.367559003523591,0.0,0.0
twap,135,-7.138315603289268,0.0,0.0
twap,136,18.237194371714917,0.0,0.0
twap,137,-3.8539078494497017,0.0,0.0
twap,138,-14.650043983925036,0.0,0.0
twap,139,-15.463053152636771,0.0,0.0
twap,140,-19.623806144669803,0.0,0.0
twap,141,-16.769800883328653,0.0,0.0
twap,142,5.503148808015339,0.0,0.0
twap,143,-26.182437283321594,0.0,0.0
twap,144,7.742211919464047,0.0,0.0
twap,145,16.958197985505176,0.0,0.0
twap,146,-3.5099877392055236,0.0,0.0
twap,147,-12.109537376712582,0.0,0.0
twap,148,-4.135924409986574,0.0,0.0
twap,149,-6.56760463089315,0.0,0.0
twap,150,-18.242695268037824,0.0,0.0
twap,151,1.5214003465493535,0.0,0.0
twap,152,3.2468555689286753,0.0,0.0
twap,153,-7.020770980617991,0.0,0.0
twap,154,21.783212671908515,0.0,0.0
twap,155,-8.046899452479979,0.0,0.0
twap,156,-6.306636362207261,0.0,0.0
twap,157,0.8657541310938474,0.0,0.0
twap,158,-6.89624352833115,0.0,0.0
twap,159,-11.805138026803819,0.0,0.0
twap,160,5.888184575950019,0.0,0.0
twap,161,-1.4259605690067947,0.0,0.0
twap,162,1.4426236808123034,0.0,0.0
twap,163,-15.13185849261417,0.0,0.0
twap,164,-20.785963476405,0.0,0.0
twap,165,-7.224948265048389,0.0,0.0
twap,166,-6.9697489993541675,0.0,0.0
twap,167,8.23182715576559,0.0,0.0
twap,168,14.189997869714286,0.0,0.0
twap,169,13.818466219028094,0.0,0.0
twap,170,-15.11977774963575,0.0,0.0
twap,171,-7.354368322214659,0.0,0.0
twap,172,0.08950498658040923,0.0,0.0
twap,173,-14.527132326874483,0.0,0.0
