path_id,t,posterior_stress,regime_true,predicted_stress
935,2,0.006232175672071359,0,0
935,3,0.004303359011553527,0,0
935,4,0.006708163541612869,0,0
935,5,0.0033119834174254693,0,0
935,6,0.0018941354425832167,0,0
935,7,0.0019375765351754388,0,0
935,8,0.0007095698896642749,0,0
935,9,0.007157881559147636,0,0
935,10,0.23107790347366922,0,0
935,11,0.008227663882079324,0,0
935,12,0.01969826035304871,0,0
935,13,0.0037648323547758013,0,0
936,1,0.16567120513096237,0,0
936,2,0.05953600360980114,0,0
936,3,0.008406863603033313,0,0
936,4,0.0031776389224982336,0,0
936,5,0.0013908258531283445,0,0
936,6,0.0013472100251197122,0,0
936,7,0.014144845666357696,0,0
936,8,0.002000971786466482,0,0
936,9,0.0007866914916835143,0,0
936,10,0.03824854748318568,0,0
936,11,0.003443983177645964,0,0
936,12,0.030387471526650323,1,0
936,13,0.11449679058469496,0,0
937,1,0.219005016487045,1,0
937,2,0.9996158782802101,1,1
937,3,0.32190475430117366,0,0
937,4,0.009379001553599671,0,0
937,5,0.06290034761978837,0,0
937,6,0.023359295573666852,0,0
937,7,0.004284579237858218,0,0
937,8,0.06757379314975626,0,0
937,9,0.002478909881203847,0,0
937,10,0.03745987908136214,0,0
937,11,0.0035640214225240306,0,0
937,12,0.0006578304343737291,0,0
937,13,0.5619019795499676,0,1
938,1,0.012809617150950603,0,0
938,2,0.00945710410400432,0,0
938,3,0.014031862755121945,0,0
938,4,0.0058463287751940665,0,0
938,5,0.31855864117444593,0,0
938,6,0.008067660134643669,0,0
938,7,0.0029511880065482207,0,0
938,8,0.014458226259444562,0,0
938,9,0.006309997057503854,0,0
938,10,0.05576841822015963,0,0
938,11,0.009948054081555935,0,0
938,12,0.1389896464911932,0,0
938,13,0.011308556952845057,0,0
939,1,0.00708230562920208,0,0
939,2,0.0019283368634717161,0,0
939,3,0.003079453399180407,0,0
939,4,0.015086925960318952,0,0
939,5,0.3757149604217932,1,0
939,6,0.9668307181776935,1,1
